,Date,Actual Open,Fractional Change Prediction,Predictions,Actual Close
0,2021-01-04,375.30999755859375,0.0010101010101010027,375.68909856622867,368.7900085449219
1,2021-01-05,368.1000061035156,0.0010101010101010027,368.47182429149893,371.3299865722656
2,2021-01-06,369.7099914550781,0.0010101010101010027,370.0834358908913,373.54998779296875
3,2021-01-07,376.1000061035156,0.0010101010101010027,376.47990509957975,379.1000061035156
4,2021-01-08,380.5899963378906,0.0010101010101010027,380.97443067762583,381.260009765625
5,2021-01-11,377.8500061035156,0.0010101010101010027,378.2316727763474,378.69000244140625
6,2021-01-12,378.8900146484375,0.0010101010101010027,379.27273183495106,378.7699890136719
7,2021-01-13,378.69000244140625,0.0010101010101010027,379.0725175953874,379.7900085449219
8,2021-01-14,380.5899963378906,0.0010101010101010027,380.97443067762583,378.4599914550781
9,2021-01-15,376.7200012207031,0.0010101010101010027,377.1005264744614,375.70001220703125
10,2021-01-19,378.3399963378906,0.0010101010101010027,378.7221579503531,378.6499938964844
11,2021-01-20,381.1099853515625,0.0010101010101010027,381.4949449327257,383.8900146484375
12,2021-01-21,384.489990234375,0.0010101010101010027,384.8783639618844,384.239990234375
13,2021-01-22,382.25,0.0010101010101010027,382.63611111111106,382.8800048828125
14,2021-01-25,383.6700134277344,0.0010101010101010027,384.05755889584316,384.3900146484375
15,2021-01-26,385.4100036621094,0.0010101010101010027,385.79930669611144,383.7900085449219
16,2021-01-27,380.2200012207031,0.0010101010101010027,380.6040618279967,374.4100036621094
17,2021-01-28,376.3599853515625,0.0010101010101010027,376.74014695292766,377.6300048828125
18,2021-01-29,375.6300048828125,0.0010101010101010027,376.0094291301688,370.07000732421875
19,2021-02-01,373.7200012207031,0.0010101010101010027,374.0974961714311,376.2300109863281
20,2021-02-02,379.6499938964844,0.0010101010101010027,380.03347873880404,381.54998779296875
21,2021-02-03,382.44000244140625,0.0010101010101010027,382.8263054741753,381.8500061035156
22,2021-02-04,382.9599914550781,0.0010101010101010027,383.3468197292751,386.19000244140625
23,2021-02-05,388.20001220703125,0.0010101010101010027,388.59213343148275,387.7099914550781
24,2021-02-08,389.2699890136719,0.0010101010101010027,389.6631910227766,390.510009765625
25,2021-02-09,389.6099853515625,0.0010101010101010027,390.0035307913115,390.25
26,2021-02-10,392.1199951171875,0.0010101010101010027,392.5160759203361,390.0799865722656
27,2021-02-11,391.239990234375,0.0010101010101010027,391.6351821437026,390.7099914550781
28,2021-02-12,389.8500061035156,0.0010101010101010027,390.2437939884686,392.6400146484375
29,2021-02-16,393.9599914550781,0.0010101010101010027,394.35793084038625,392.29998779296875
30,2021-02-17,390.4200134277344,0.0010101010101010027,390.81437707766133,392.3900146484375
31,2021-02-18,389.5899963378906,0.0010101010101010027,389.98352158671673,390.7200012207031
32,2021-02-19,392.07000732421875,0.0010101010101010027,392.4660376346472,390.0299987792969
33,2021-02-22,387.05999755859375,0.0010101010101010027,387.45096725309736,387.0299987792969
34,2021-02-23,384.6600036621094,0.0010101010101010027,385.04854912035387,387.5
35,2021-02-24,386.3299865722656,0.0010101010101010027,386.72021888193456,391.7699890136719
36,2021-02-25,390.4100036621094,0.0010101010101010027,390.80435720116196,382.3299865722656
37,2021-02-26,384.3500061035156,0.0010101010101010027,384.7382384329131,380.3599853515625
38,2021-03-01,385.5899963378906,0.0010101010101010027,385.97948118267635,389.5799865722656
39,2021-03-02,389.82000732421875,0.0010101010101010027,390.21376490737447,386.5400085449219
40,2021-03-03,385.7900085449219,0.0010101010101010027,386.17969542223994,381.4200134277344
41,2021-03-04,381.2200012207031,0.0010101010101010027,381.60507192900684,376.70001220703125
42,2021-03-05,380.4599914550781,0.0010101010101010027,380.8442944767499,383.6300048828125
43,2021-03-08,384.6600036621094,0.0010101010101010027,385.04854912035387,381.7200012207031
44,2021-03-09,385.8500061035156,0.0010101010101010027,386.23975358442823,387.1700134277344
45,2021-03-10,389.69000244140625,0.0010101010101010027,390.08362870649853,389.5799865722656
46,2021-03-11,392.2300109863281,0.0010101010101010027,392.62620291661733,393.5299987792969
47,2021-03-12,392.07000732421875,0.0010101010101010027,392.4660376346472,394.05999755859375
48,2021-03-15,394.3299865722656,0.0010101010101010027,394.7282996900153,396.4100036621094
49,2021-03-16,397.07000732421875,0.0010101010101010027,397.4710881396977,395.9100036621094
50,2021-03-17,394.5299987792969,0.0010101010101010027,394.92851392957897,397.260009765625
51,2021-03-18,394.4800109863281,0.0010101010101010027,394.87847564389006,391.4800109863281
52,2021-03-19,389.8800048828125,0.0010101010101010027,390.27382306956275,389.4800109863281
53,2021-03-22,390.0299987792969,0.0010101010101010027,390.4239684750335,392.5899963378906
54,2021-03-23,391.9100036621094,0.0010101010101010027,392.3058723526771,389.5
55,2021-03-24,391.0,0.0010101010101010027,391.39494949494946,387.5199890136719
56,2021-03-25,385.9800109863281,0.0010101010101010027,386.36988978530417,389.70001220703125
57,2021-03-26,390.92999267578125,0.0010101010101010027,391.3248714562618,395.9800109863281
58,2021-03-29,394.3999938964844,0.0010101010101010027,394.79837772870303,395.7799987792969
59,2021-03-30,394.4200134277344,0.0010101010101010027,394.8184174817017,394.7300109863281
60,2021-03-31,395.3399963378906,0.0010101010101010027,395.7393296675248,396.3299865722656
61,2021-04-01,398.3999938964844,0.0010101010101010027,398.8024181327434,400.6099853515625
62,2021-04-05,403.4599914550781,0.0010101010101010027,403.8675267999822,406.3599853515625
63,2021-04-06,405.760009765625,0.0010101010101010027,406.1698683613478,406.1199951171875
64,2021-04-07,405.94000244140625,0.0010101010101010027,406.3500428479127,406.5899963378906
65,2021-04-08,407.92999267578125,0.0010101010101010027,408.3420431734335,408.5199890136719
66,2021-04-09,408.3900146484375,0.0010101010101010027,408.802529814749,411.489990234375
67,2021-04-12,410.8500061035156,0.0010101010101010027,411.26500610968077,411.6400146484375
68,2021-04-13,411.5299987792969,0.0010101010101010027,411.9456856467507,412.8599853515625
69,2021-04-14,412.8299865722656,0.0010101010101010027,413.2469865587022,411.45001220703125
