,Date,Actual Open,Fractional Change Prediction,Predictions,Actual Close
0,2021-01-04,157.24000549316406,0.002040816326530609,157.56090346355828,156.5
1,2021-01-05,156.25,0.002040816326530609,156.56887755102042,158.33999633789062
2,2021-01-06,157.24000549316406,0.002040816326530609,157.56090346355828,159.8300018310547
3,2021-01-07,159.0,0.002040816326530609,159.32448979591837,160.3699951171875
4,2021-01-08,160.50999450683594,0.002040816326530609,160.83756592419684,160.0399932861328
5,2021-01-11,160.55999755859375,0.002040816326530609,160.88767102299906,159.3699951171875
6,2021-01-12,159.14999389648438,0.002040816326530609,159.47478980239558,158.1300048828125
7,2021-01-13,158.22999572753906,0.002040816326530609,158.5529140861667,157.88999938964844
8,2021-01-14,160.4499969482422,0.002040816326530609,160.77744592160596,160.64999389648438
9,2021-01-15,160.3000030517578,0.002040816326530609,160.62714591512875,160.3000030517578
10,2021-01-19,162.0,0.002040816326530609,162.33061224489796,162.77999877929688
11,2021-01-20,163.1999969482422,0.002040816326530609,163.5330581665039,162.3800048828125
12,2021-01-21,161.32000732421875,0.002040816326530609,161.64923182896206,161.72999572753906
13,2021-01-22,162.36000061035156,0.002040816326530609,162.69134755037268,163.5500030517578
14,2021-01-25,165.00999450683594,0.002040816326530609,165.34674959766622,165.97999572753906
15,2021-01-26,169.6999969482422,0.002040816326530609,170.04632347262637,170.47999572753906
16,2021-01-27,169.1199951171875,0.002040816326530609,169.46513796436543,167.8800048828125
17,2021-01-28,168.1999969482422,0.002040816326530609,168.54326224813656,169.16000366210938
18,2021-01-29,164.25999450683594,0.002040816326530609,164.59521898542133,163.1300048828125
19,2021-02-01,165.30999755859375,0.002040816326530609,165.64736490055006,162.7100067138672
20,2021-02-02,163.3800048828125,0.002040816326530609,163.713433464206,161.25
21,2021-02-03,160.94000244140625,0.002040816326530609,161.26845142598054,160.5
22,2021-02-04,161.0,0.002040816326530609,161.32857142857142,161.99000549316406
23,2021-02-05,164.86000061035156,0.002040816326530609,165.196449591189,164.4499969482422
24,2021-02-08,165.02999877929688,0.002040816326530609,165.36679469517298,164.9199981689453
25,2021-02-09,165.1999969482422,0.002040816326530609,165.53713979915696,166.27000427246094
26,2021-02-10,167.88999938964844,0.002040816326530609,168.23263204146406,166.80999755859375
27,2021-02-11,167.0,0.002040816326530609,167.34081632653061,166.05999755859375
28,2021-02-12,164.39999389648438,0.002040816326530609,164.73550408810985,166.5800018310547
29,2021-02-16,166.5800018310547,0.002040816326530609,166.91996101846502,165.07000732421875
30,2021-02-17,164.97000122070312,0.002040816326530609,165.3066746925821,165.66000366210938
31,2021-02-18,164.9600067138672,0.002040816326530609,165.29665978879345,165.74000549316406
32,2021-02-19,165.60000610351562,0.002040816326530609,165.93796529964524,162.97999572753906
33,2021-02-22,161.8699951171875,0.002040816326530609,162.2003420459981,161.8699951171875
34,2021-02-23,161.47999572753906,0.002040816326530609,161.80954673922793,160.44000244140625
35,2021-02-24,162.39999389648438,0.002040816326530609,162.7314224554568,162.58999633789062
36,2021-02-25,163.1300048828125,0.002040816326530609,163.46292326012437,162.75999450683594
37,2021-02-26,162.0,0.002040816326530609,162.33061224489796,158.4600067138672
38,2021-03-01,161.4499969482422,0.002040816326530609,161.77948673793247,159.32000732421875
39,2021-03-02,159.77999877929688,0.002040816326530609,160.1060804094587,159.02000427246094
40,2021-03-03,158.25,0.002040816326530609,158.57295918367348,156.22000122070312
41,2021-03-04,155.99000549316406,0.002040816326530609,156.3083524431501,153.07000732421875
42,2021-03-05,153.97999572753906,0.002040816326530609,154.29424061677895,156.10000610351562
43,2021-03-08,157.0,0.002040816326530609,157.3204081632653,157.39999389648438
44,2021-03-09,156.88999938964844,0.002040816326530609,157.21018306187221,157.6999969482422
45,2021-03-10,158.82000732421875,0.002040816326530609,159.14412978814573,159.14999389648438
46,2021-03-11,159.5399932861328,0.002040816326530609,159.86558510916575,159.13999938964844
47,2021-03-12,159.27999877929688,0.002040816326530609,159.60506000129544,159.60000610351562
48,2021-03-15,159.75,0.002040816326530609,160.07602040816326,160.4199981689453
49,2021-03-16,160.4600067138672,0.002040816326530609,160.78747611532407,161.3699951171875
50,2021-03-17,160.8300018310547,0.002040816326530609,161.15822632458745,160.77000427246094
51,2021-03-18,160.2100067138672,0.002040816326530609,160.53696591124242,160.47000122070312
52,2021-03-19,160.69000244140625,0.002040816326530609,161.01794122189892,160.0399932861328
53,2021-03-22,158.30999755859375,0.002040816326530609,158.63307918626435,160.5
54,2021-03-23,160.2100067138672,0.002040816326530609,160.53696591124242,160.35000610351562
55,2021-03-24,160.10000610351562,0.002040816326530609,160.42674080984932,161.91000366210938
56,2021-03-25,162.44000244140625,0.002040816326530609,162.77151265047036,161.97000122070312
57,2021-03-26,162.08999633789062,0.002040816326530609,162.4207922487843,164.92999267578125
58,2021-03-29,163.8300018310547,0.002040816326530609,164.16434877356704,166.0399932861328
59,2021-03-30,165.02000427246094,0.002040816326530609,165.35677979138433,165.00999450683594
60,2021-03-31,164.9600067138672,0.002040816326530609,165.29665978879345,164.35000610351562
61,2021-04-01,162.60000610351562,0.002040816326530609,162.93184285066567,162.8300018310547
62,2021-04-05,163.63999938964844,0.002040816326530609,163.9739585720763,163.42999267578125
63,2021-04-06,164.0800018310547,0.002040816326530609,164.4148589776487,163.38999938964844
64,2021-04-07,163.5500030517578,0.002040816326530609,163.88377856818997,163.61000061035156
65,2021-04-08,164.0,0.002040816326530609,164.33469387755102,162.97000122070312
66,2021-04-09,162.1199951171875,0.002040816326530609,162.45085225007972,161.25
67,2021-04-12,161.08999633789062,0.002040816326530609,161.41875143245775,161.63999938964844
68,2021-04-13,156.86000061035156,0.002040816326530609,157.18012306057676,159.47999572753906
69,2021-04-14,157.8300018310547,0.002040816326530609,158.15210387560788,159.9199981689453
