,Date,Actual Open,Fractional Change Prediction,Predictions,Actual Close
0,2021-01-04,133.52000427246094,1,267.0400085449219,129.41000366210938
1,2021-01-05,128.88999938964844,1,257.7799987792969,131.00999450683594
2,2021-01-06,127.72000122070312,0,127.72000122070312,126.5999984741211
3,2021-01-07,128.36000061035156,1,256.7200012207031,130.9199981689453
4,2021-01-08,132.42999267578125,0,132.42999267578125,132.0500030517578
5,2021-01-11,129.19000244140625,1,258.3800048828125,128.97999572753906
6,2021-01-12,128.5,1,257.0,128.8000030517578
7,2021-01-13,128.75999450683594,0,128.75999450683594,130.88999938964844
8,2021-01-14,130.8000030517578,1,261.6000061035156,128.91000366210938
9,2021-01-15,128.77999877929688,1,257.55999755859375,127.13999938964844
10,2021-01-19,127.77999877929688,1,255.55999755859375,127.83000183105469
11,2021-01-20,128.66000366210938,0,128.66000366210938,132.02999877929688
12,2021-01-21,133.8000030517578,1,267.6000061035156,136.8699951171875
13,2021-01-22,136.27999877929688,1,272.55999755859375,139.07000732421875
14,2021-01-25,143.07000732421875,1,286.1400146484375,142.9199981689453
15,2021-01-26,143.60000610351562,1,287.20001220703125,143.16000366210938
16,2021-01-27,143.42999267578125,1,286.8599853515625,142.05999755859375
17,2021-01-28,139.52000427246094,1,279.0400085449219,137.08999633789062
18,2021-01-29,135.8300018310547,1,271.6600036621094,131.9600067138672
19,2021-02-01,133.75,1,267.5,134.13999938964844
20,2021-02-02,135.72999572753906,0,135.72999572753906,134.99000549316406
21,2021-02-03,135.75999450683594,1,271.5199890136719,133.94000244140625
22,2021-02-04,136.3000030517578,1,272.6000061035156,137.38999938964844
23,2021-02-05,137.35000610351562,0,137.35000610351562,136.75999450683594
24,2021-02-08,136.02999877929688,1,272.05999755859375,136.91000366210938
25,2021-02-09,136.6199951171875,0,136.6199951171875,136.00999450683594
26,2021-02-10,136.47999572753906,1,272.9599914550781,135.38999938964844
27,2021-02-11,135.89999389648438,1,271.79998779296875,135.1300048828125
28,2021-02-12,134.35000610351562,1,268.70001220703125,135.3699951171875
29,2021-02-16,135.49000549316406,0,135.49000549316406,133.19000244140625
30,2021-02-17,131.25,1,262.5,130.83999633789062
31,2021-02-18,129.1999969482422,1,258.3999938964844,129.7100067138672
32,2021-02-19,130.24000549316406,0,130.24000549316406,129.8699951171875
33,2021-02-22,128.00999450683594,1,256.0199890136719,126.0
34,2021-02-23,123.76000213623047,1,247.52000427246094,125.86000061035156
35,2021-02-24,124.94000244140625,0,124.94000244140625,125.3499984741211
36,2021-02-25,124.68000030517578,1,249.36000061035156,120.98999786376953
37,2021-02-26,122.58999633789062,1,245.17999267578125,121.26000213623047
38,2021-03-01,123.75,1,247.5,127.79000091552734
39,2021-03-02,128.41000366210938,0,128.41000366210938,125.12000274658203
40,2021-03-03,124.80999755859375,1,249.6199951171875,122.05999755859375
41,2021-03-04,121.75,1,243.5,120.12999725341797
42,2021-03-05,120.9800033569336,1,241.9600067138672,121.41999816894531
43,2021-03-08,120.93000030517578,0,120.93000030517578,116.36000061035156
44,2021-03-09,119.02999877929688,1,238.05999755859375,121.08999633789062
45,2021-03-10,121.69000244140625,0,121.69000244140625,119.9800033569336
46,2021-03-11,122.54000091552734,1,245.0800018310547,121.95999908447266
47,2021-03-12,120.4000015258789,1,240.8000030517578,121.02999877929688
48,2021-03-15,121.41000366210938,0,121.41000366210938,123.98999786376953
49,2021-03-16,125.69999694824219,1,251.39999389648438,125.56999969482422
50,2021-03-17,124.05000305175781,1,248.10000610351562,124.76000213623047
51,2021-03-18,122.87999725341797,0,122.87999725341797,120.52999877929688
52,2021-03-19,119.9000015258789,1,239.8000030517578,119.98999786376953
53,2021-03-22,120.33000183105469,0,120.33000183105469,123.38999938964844
54,2021-03-23,123.33000183105469,1,246.66000366210938,122.54000091552734
55,2021-03-24,122.81999969482422,1,245.63999938964844,120.08999633789062
56,2021-03-25,119.54000091552734,1,239.0800018310547,120.58999633789062
57,2021-03-26,120.3499984741211,0,120.3499984741211,121.20999908447266
58,2021-03-29,121.6500015258789,1,243.3000030517578,121.38999938964844
59,2021-03-30,120.11000061035156,1,240.22000122070312,119.9000015258789
60,2021-03-31,121.6500015258789,1,243.3000030517578,122.1500015258789
61,2021-04-01,123.66000366210938,0,123.66000366210938,123.0
62,2021-04-05,123.87000274658203,1,247.74000549316406,125.9000015258789
63,2021-04-06,126.5,0,126.5,126.20999908447266
64,2021-04-07,125.83000183105469,1,251.66000366210938,127.9000015258789
65,2021-04-08,128.9499969482422,0,128.9499969482422,130.36000061035156
66,2021-04-09,129.8000030517578,1,259.6000061035156,133.0
67,2021-04-12,132.52000427246094,1,265.0400085449219,131.24000549316406
68,2021-04-13,132.44000244140625,1,264.8800048828125,134.42999267578125
69,2021-04-14,134.94000244140625,0,134.94000244140625,132.02999877929688
